Date,Open,High,Low,Close,Adj Close,Volume,close-open,increase yes or no,50day moving average,50 moving day average,100 day moving average,100 day moving average beat,AMD News,Quarterly earnings
2020-05-04,49.82,52.610001,49.73,52.560001,52.560001,62590600,2.740001,yes,48.13560022,No,48.35649997,No,No,No
2020-05-05,53.43,53.509998,51.290001,52.189999,52.189999,56560500,-1.240001,no,48.19700022,No,48.48399997,No,No,No
2020-05-06,52.419998,53.310001,51.880001,52.16,52.16,48138100,-0.259998,no,48.28880022,No,48.61089996,No,No,No
2020-05-07,52.93,52.970001,51.619999,51.950001,51.950001,48956600,-0.979999,no,48.3780002,No,48.70449997,No,Yes,No
2020-05-08,52.150002,53.27,51.810001,53.189999,53.189999,40774200,1.039997,yes,48.56160022,No,48.82489994,No,No,No
2020-05-11,52.900002,55.889999,52.75,55.740002,55.740002,68746400,2.84,yes,48.76680026,No,48.95879998,No,No,No
2020-05-12,56.209999,56.580002,53.75,53.759998,53.759998,55631100,-2.450001,no,48.89280024,No,49.06869996,No,No,No
2020-05-13,54.040001,55.220001,51.299999,52.18,52.18,76824700,-1.860001,no,49.00140024,No,49.16749997,No,Yes,No
2020-05-14,52.099998,54.540001,51.610001,54.509998,54.509998,73814000,2.41,yes,49.08940018,No,49.28429993,No,No,No
2020-05-15,53.32,54.439999,52.860001,54.200001,54.200001,66950900,0.880001,yes,49.21120018,No,49.38479992,No,No,No
2020-05-18,54.98,55.25,54.240002,54.59,54.59,48679100,-0.39,no,49.33120018,No,49.47609993,No,No,No
2020-05-19,54.389999,56.73,54.360001,55.470001,55.470001,60388500,1.080002,yes,49.5752002,No,49.56539993,No,No,No
2020-05-20,56.549999,56.98,55.630001,56.389999,56.389999,50888200,-0.16,no,49.79540016,No,49.66299991,No,No,No
2020-05-21,56.68,56.720001,54.610001,54.650002,54.650002,48496100,-2.029998,no,49.97440018,No,49.74769993,No,No,No
2020-05-22,54.77,55.369999,53.779999,55.169998,55.169998,43524100,0.399998,yes,50.29760018,No,49.84419991,No,No,No
2020-05-26,56.009998,56.080002,53.02,53.189999,53.189999,51618900,-2.819999,no,50.48340012,No,49.91749989,No,Yes,No
2020-05-27,53.27,53.279999,49.09,52.740002,52.740002,102414500,-0.529998,no,50.76400018,No,49.95389993,No,No,No
2020-05-28,52.25,53.540001,51.25,51.740002,51.740002,53670200,-0.509998,no,50.9612002,No,49.98529997,No,Yes,No
2020-05-29,52.07,53.799999,51.849998,53.799999,53.799999,64948300,1.729999,yes,51.2548002,No,50.03939997,No,No,No
2020-06-01,53.310001,54.110001,52.889999,53.630001,53.630001,36864400,0.32,yes,51.53100022,No,50.09319998,No,Yes,No
2020-06-02,53.450001,53.57,52.009998,53.540001,53.540001,42855200,0.09,yes,51.80960022,No,50.15029997,No,No,No
2020-06-03,53.599998,53.650002,52.330002,52.73,52.73,46765300,-0.869998,no,52.03140024,No,50.18789996,No,No,No
